author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"Nell et al., 2018",95,95,209,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Domain Knowledge Test,0,0,0.76,0.76,Cronbach's alpha,0,RC,Scenario Questions,1,,,0,0,0,200,0.44,,0,,1,0
"Nell et al., 2018",95,95,210,0,13,4,2,,,,,106,94,,,,,,,,,3,0,Netherlands,0,Dutch,Topic Knowledge Test,1,0,0.75,0.75,Cronbach's alpha,0,RC,Scenario Questions,1,,,0,0,0,200,0.3,,0,,1,0
"O'reilly & Mcnamara, 2007a",96,96,211,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (humanity),0,0,0.76,0.76,Cronbach's alpha,0,RC,Nelson-Denny adult reading comprehension test (form G),0,0.82,Cronbach's alpha,1,1,1,143,0.46,table 3,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,212,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (biology),0,0,0.61,0.61,Cronbach's alpha,0,RC,Nelson-Denny adult reading comprehension test (form G),0,0.82,Cronbach's alpha,1,1,1,143,0.41,,1,0,,1
"O'reilly & Mcnamara, 2007a",96,96,213,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Cell knowledge,1,2,0.98,0.98,IRR,0,RC,Nelson-Denny adult reading comprehension test (form G),0,0.82,Cronbach's alpha,1,1,1,143,0.28,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,214,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Biology cell combined,1,3,,,,0,RC,Nelson-Denny adult reading comprehension test (form G),0,0.82,Cronbach's alpha,1,1,1,143,0.39,,,0,0,1
"O'reilly & Mcnamara, 2007a",96,96,215,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (humanity),0,0,0.76,0.76,Cronbach's alpha,0,RC,Comprehension questions (text-based),1,0.89,Cronbach's alpha,0,1,1,143,0.31,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,216,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (biology),0,0,0.61,0.61,Cronbach's alpha,0,RC,Comprehension questions (text-based),1,0.89,Cronbach's alpha,0,0,1,143,0.4,,1,0,,1
"O'reilly & Mcnamara, 2007a",96,96,217,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Cell knowledge,1,2,0.98,0.98,IRR,0,RC,Comprehension questions (text-based),1,0.89,Cronbach's alpha,0,0,0,143,0.33,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,218,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Biology cell combined,1,3,,,,0,RC,Comprehension questions (text-based),1,0.89,Cronbach's alpha,0,0,0,143,0.42,,,0,0,1
"O'reilly & Mcnamara, 2007a",96,96,219,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (humanity),0,0,0.76,0.76,Cronbach's alpha,0,RC,Comprehension questions (bridging),1,0.89,Cronbach's alpha,0,1,1,143,0.36,,0,0,1,1
